head_id,layer_x,n_comp_99,evr1,layer_y,twonn_id,ratio,global_idx,mean_acc,std_acc
L0_B0_H0,0,2,0.9606004,0,3.6102283932859365,0.5539815718361385,0,0.083,0.008276472678623421
L0_B0_H1,0,3,0.92970365,0,5.234347959736913,0.5731372891287084,1,0.10049999999999999,0.011335784048754634
L0_B0_H2,0,2,0.9676021,0,3.8938914818800368,0.5136249968204984,2,0.08149999999999999,0.011022703842524302
L0_B0_H3,0,4,0.8066112,0,6.064285451549568,0.6595995574347354,3,0.0925,0.01802775637731995
L0_B1_H0,0,10,0.52252823,0,7.545759335304379,1.3252476729827511,4,0.11850000000000001,0.015540270267920061
L0_B1_H1,0,4,0.8313568,0,5.860079665365814,0.6825845770733735,5,0.1635,0.014195069566578391
L0_B1_H2,0,7,0.5985062,0,5.47030910214816,1.2796351850119656,6,0.188,0.021354156504062624
L0_B1_H3,0,6,0.7097794,0,5.939392697937094,1.010204292786358,7,0.143,0.01607793519081353
L1_B0_H0,1,15,0.30769643,1,8.07235244736944,1.8581943860600503,8,0.181,0.015215124054702944
L1_B0_H1,1,14,0.4204068,1,7.201320530002438,1.9440878852250254,9,0.27149999999999996,0.020591260281974
L1_B0_H2,1,14,0.30525485,1,7.914937552074478,1.7688073857677686,10,0.2605,0.027676705006196095
L1_B0_H3,1,13,0.41968673,1,6.656652493913272,1.9529335520949869,11,0.27299999999999996,0.012589678312014161
L1_B0_H4,1,15,0.46881703,1,6.9279649414241025,2.1651379772884103,12,0.28500000000000003,0.013509256086106284
L1_B0_H5,1,14,0.28109932,1,7.776181530866775,1.8003694929739487,13,0.28500000000000003,0.02162174831043965
L1_B0_H6,1,9,0.74714434,1,6.717067211007468,1.3398704698460393,14,0.2575,0.020796634343085426
L1_B0_H7,1,14,0.5417235,1,8.117387091171901,1.7246929144509764,15,0.2665,0.02374868417407583
L1_B1_H0,1,17,0.33434293,1,6.731437726718729,2.5254634582034123,16,0.351,0.022505554869853794
L1_B1_H1,1,20,0.22684996,1,7.859957035953359,2.544543170976015,17,0.363,0.030099833886584833
L1_B1_H2,1,19,0.29851377,1,7.690816098075505,2.470479043798021,18,0.313,0.014265342617687119
L1_B1_H3,1,18,0.24688914,1,7.333908461719075,2.4543529679917473,19,0.327,0.01812456896039186
L1_B1_H4,1,20,0.23001024,1,8.017054331817636,2.4946818584757646,20,0.32249999999999995,0.01620185174601965
L1_B1_H5,1,19,0.24700014,1,7.90318655694159,2.4040935720177035,21,0.30900000000000005,0.02704625667259705
L1_B1_H6,1,18,0.2740799,1,6.470750445711658,2.781748446492646,22,0.4025,0.010606601717798203
L1_B1_H7,1,18,0.3070165,1,6.849012998632344,2.6281159056924492,23,0.3975,0.02196588263648879
L2_B0_H0,2,19,0.19918291,2,7.506836902812466,2.5310260827541855,24,0.35350000000000004,0.02576819745345025
L2_B0_H1,2,20,0.24168044,2,7.051777813890175,2.836164230898651,25,0.542,0.016911534525287777
L2_B0_H10,2,20,0.18215384,2,6.853524032516073,2.9182067364338957,26,0.4645,0.025514701644346147
L2_B0_H11,2,20,0.19540173,2,7.07266645799543,2.8277878108320267,27,0.5904999999999999,0.015280706789936127
L2_B0_H12,2,20,0.19892648,2,6.848295541216988,2.920434709575321,28,0.3845,0.02363260459619294
L2_B0_H13,2,20,0.20390707,2,7.032997639527132,2.8437376244227934,29,0.5049999999999999,0.01923538406167133
L2_B0_H14,2,19,0.2062961,2,7.188589754876787,2.6430775225572267,30,0.575,0.022583179581272407
L2_B0_H15,2,19,0.24857534,2,7.490817550968077,2.536438762621382,31,0.5039999999999999,0.016703293088490053
L2_B0_H2,2,20,0.19148901,2,7.627218289116857,2.622187964455881,32,0.48200000000000004,0.017564168070250272
L2_B0_H3,2,21,0.1946191,2,8.852181100604128,2.3722966985579217,33,0.376,0.031248999983999496
L2_B0_H4,2,20,0.23483256,2,6.5182238140343784,3.0683205380180456,34,0.485,0.009746794344808952
L2_B0_H5,2,14,0.3525115,2,5.681804092500588,2.464006110044976,35,0.5029999999999999,0.012186057606953946
L2_B0_H6,2,17,0.43519333,2,6.322842222762464,2.6886642748729956,36,0.48949999999999994,0.017277152543170977
L2_B0_H7,2,20,0.36249328,2,7.946124714238702,2.5169501762490456,37,0.27999999999999997,0.011401754250991363
L2_B0_H8,2,22,0.15103474,2,10.605408780381152,2.0744132032607356,38,0.37649999999999995,0.021071307505705475
L2_B0_H9,2,20,0.21362042,2,6.800492031596117,2.940963669551698,39,0.526,0.013285330255586453
L2_B1_H0,2,21,0.23693602,2,8.742594317201599,2.4020329936482576,40,0.46950000000000003,0.0150332963783729
L2_B1_H1,2,22,0.16642833,2,9.130262521522505,2.4095692701212075,41,0.434,0.015049916943292425
L2_B1_H10,2,22,0.18090744,2,7.17523056863013,3.0661035613521985,42,0.449,0.027092434368288114
L2_B1_H11,2,20,0.22991054,2,6.714553264338259,2.978604713171646,43,0.5885,0.008154753215150055
L2_B1_H12,2,21,0.3566164,2,7.659672747271211,2.741631489084352,44,0.43950000000000006,0.009407443861113397
L2_B1_H13,2,22,0.27746174,2,8.906009167427543,2.4702422360468548,45,0.4305,0.015116216457830987
L2_B1_H14,2,17,0.3220185,2,6.3281566443768,2.686406319462114,46,0.549,0.003391164991562647
L2_B1_H15,2,19,0.24722618,2,6.961006690399104,2.7294902655682765,47,0.5255,0.01713184169901181
L2_B1_H2,2,22,0.14129633,2,9.553076504343254,2.302923041597942,48,0.40650000000000003,0.02643860813280457
L2_B1_H3,2,22,0.19858222,2,8.324494623242913,2.6428030764262322,49,0.372,0.021587033144922906
L2_B1_H4,2,20,0.44763994,2,8.298569226582524,2.410054004964456,50,0.33849999999999997,0.008455767262643868
L2_B1_H5,2,22,0.20436572,2,9.51422575144891,2.312326885521888,51,0.35150000000000003,0.021828879952943067
L2_B1_H6,2,21,0.22469427,2,7.819621929414281,2.685551832244782,52,0.386,0.01813835714721707
L2_B1_H7,2,22,0.28147125,2,7.755960805245204,2.8365280011629035,53,0.563,0.020149441679609886
L2_B1_H8,2,23,0.12330733,2,9.855436736465892,2.333737267563008,54,0.4025,0.011180339887498935
L2_B1_H9,2,22,0.24293679,2,7.231485212062083,3.0422519516881685,55,0.4375,0.007905694150420957
L2_B2_H0,2,23,0.12212893,2,7.897937042651015,2.912152866728834,56,0.5755,0.021118712081942895
L2_B2_H1,2,22,0.17124784,2,8.436817871925303,2.607618219803949,57,0.607,0.021587033144922906
L2_B2_H10,2,23,0.25885028,2,9.541779773984846,2.410451775748197,58,0.5229999999999999,0.03458323293158117
L2_B2_H11,2,22,0.2543533,2,9.008049510002047,2.4422601114228333,59,0.43600000000000005,0.020772578077841004
L2_B2_H12,2,23,0.20278619,2,8.635541344809825,2.6634114853521687,60,0.5345000000000001,0.014866068747318528
L2_B2_H13,2,23,0.13544376,2,8.422917483347872,2.7306452954657403,61,0.509,0.03010813843464919
L2_B2_H14,2,23,0.1413972,2,7.766936612754757,2.9612704656594873,62,0.709,0.03371201566207514
L2_B2_H15,2,23,0.14190573,2,7.923574161096466,2.902730451230768,63,0.5960000000000001,0.01729161646579059
L2_B2_H2,2,23,0.15164272,2,9.243609756710253,2.488205431141607,64,0.6245,0.02431049156228644
L2_B2_H3,2,23,0.17972769,2,7.717697996337424,2.980163257348898,65,0.4720000000000001,0.01576388277043444
L2_B2_H4,2,22,0.13352206,2,9.934936694060848,2.2144076683600513,66,0.634,0.025816661286851183
L2_B2_H5,2,19,0.21418719,2,8.376881964109971,2.268147036260492,67,0.5159999999999999,0.016324827717314524
L2_B2_H6,2,21,0.28090045,2,8.693926821317271,2.415479268644012,68,0.4465,0.028922309727959134
L2_B2_H7,2,21,0.145653,2,9.455325942948305,2.220970501356604,69,0.5485,0.030438462510448867
L2_B2_H8,2,21,0.22191122,2,8.47521734262669,2.477812562325576,70,0.5199999999999999,0.030618621784789746
L2_B2_H9,2,23,0.1932074,2,8.349746892529309,2.7545745153758583,71,0.49149999999999994,0.023270152556440174
L2_B3_H0,2,20,0.28914765,2,9.475091598206088,2.1107975361195015,72,0.38749999999999996,0.03354101966249684
L2_B3_H1,2,23,0.1304962,2,10.359383693822014,2.220209298137728,73,0.49750000000000005,0.035
L2_B3_H10,2,23,0.11769222,2,8.868511422934144,2.593445382561221,74,0.5795,0.023420076857260726
L2_B3_H11,2,23,0.122802414,2,10.115522780809743,2.2737332017711953,75,0.4774999999999999,0.017818529681205456
L2_B3_H12,2,23,0.12507354,2,10.709183287205178,2.147689453357223,76,0.5465,0.029774149861918807
L2_B3_H13,2,23,0.1381689,2,9.906205089138574,2.3217770874961805,77,0.48549999999999993,0.02187464285422734
L2_B3_H14,2,23,0.11128052,2,9.397645507194579,2.447421535787005,78,0.5589999999999999,0.023801260470823805
L2_B3_H15,2,23,0.119468674,2,10.381658477838947,2.215445638969593,79,0.5214999999999999,0.015215124054702942
L2_B3_H2,2,23,0.19241914,2,8.427893723121015,2.7290329892155603,80,0.42899999999999994,0.028835741710592423
L2_B3_H3,2,22,0.18345827,2,9.484271451095747,2.3196299382023984,81,0.5655000000000001,0.017131841699011816
L2_B3_H4,2,23,0.19433591,2,10.273417949235393,2.2387875304646583,82,0.43899999999999995,0.022394195676558693
L2_B3_H5,2,23,0.12798819,2,9.112624234018487,2.5239710767550716,83,0.532,0.023420076857260747
L2_B3_H6,2,20,0.24790326,2,8.195985287295596,2.4402191193536584,84,0.5900000000000001,0.026076809620810604
L2_B3_H7,2,23,0.17560618,2,8.639844034959129,2.662085091690987,85,0.528,0.007968688725254594
L2_B3_H8,2,23,0.14281403,2,8.194191130704317,2.8068664292949044,86,0.4495,0.028035691537752372
L2_B3_H9,2,23,0.14106141,2,10.622879471968954,2.1651379986651533,87,0.541,0.018343936327844153
L2_B4_H0,2,23,0.11347545,2,10.308693076959193,2.231126664485429,88,0.7030000000000001,0.012186057606953913
L2_B4_H1,2,23,0.113437414,2,10.687265081443373,2.1520940881250907,89,0.6220000000000001,0.016232683080747913
L2_B4_H10,2,22,0.20519151,2,9.541167222032648,2.305797549507064,90,0.6014999999999999,0.026485845276298058
L2_B4_H11,2,23,0.14355639,2,9.680610213749999,2.3758832854701253,91,0.7050000000000001,0.014916433890176274
L2_B4_H12,2,23,0.15954018,2,10.37343486822546,2.2172019482621494,92,0.48200000000000004,0.012589678312014163
L2_B4_H13,2,23,0.11064777,2,8.934482390064604,2.5742957449417156,93,0.6985,0.018881207588499205
L2_B4_H14,2,23,0.16524538,2,7.806525749567766,2.946253011626007,94,0.7645,0.01945507645834371
L2_B4_H15,2,23,0.121640846,2,9.363562030354545,2.456330179203087,95,0.6415,0.03451811118818639
L2_B4_H2,2,23,0.12500837,2,11.34753808615612,2.0268713641119884,96,0.6555000000000001,0.01846618531261941
L2_B4_H3,2,22,0.21563284,2,8.968808266742768,2.4529457365677207,97,0.7085000000000001,0.028000000000000025
L2_B4_H4,2,23,0.16685146,2,10.478477028512378,2.1949754661308156,98,0.5515000000000001,0.008455767262643871
L2_B4_H5,2,23,0.15872352,2,11.009438368850079,2.0891165588497063,99,0.545,0.024083189157584617
L2_B4_H6,2,23,0.11824341,2,10.015199660548516,2.2965093836921397,100,0.508,0.01919635382045247
L2_B4_H7,2,23,0.15022567,2,10.057650368064431,2.286816419173884,101,0.388,0.027946377224964233
L2_B4_H8,2,23,0.13076253,2,9.32641859539959,2.4661127703773804,102,0.6735,0.01419506956657839
L2_B4_H9,2,23,0.19989587,2,8.311041015058214,2.7674030194686625,103,0.666,0.03527038417709681
L2_B5_H0,2,23,0.14871937,2,11.052192656128772,2.0810350231495294,104,0.481,0.01617096162879621
L2_B5_H1,2,23,0.11625994,2,9.678144474220288,2.376488598745885,105,0.5834999999999999,0.023590252224170907
L2_B5_H10,2,22,0.22065526,2,9.808093427271087,2.2430455177791955,106,0.6064999999999999,0.016926310879810783
L2_B5_H11,2,23,0.12874267,2,10.47282940831405,2.1961591374477103,107,0.7144999999999999,0.0338895264056611
L2_B5_H12,2,23,0.16494398,2,10.759926873434202,2.1375609955850177,108,0.4779999999999999,0.015842979517754846
L2_B5_H13,2,23,0.14307077,2,9.758952693148919,2.3568102770030537,109,0.5370000000000001,0.025268557536986574
L2_B5_H14,2,23,0.14119512,2,10.813229023432978,2.1270242172950824,110,0.43899999999999995,0.022726636354727024
L2_B5_H15,2,23,0.14802456,2,11.112217082971114,2.0697939779493946,111,0.5664999999999999,0.02065187642806339
L2_B5_H2,2,22,0.14983378,2,11.306543263475975,1.9457759535637713,112,0.5575,0.030248966924508333
L2_B5_H3,2,21,0.3127482,2,9.100033466553565,2.3076838208544834,113,0.5755000000000001,0.01426534261768709
L2_B5_H4,2,21,0.19717018,2,8.755573526816136,2.3984722343638873,114,0.6885,0.017291616465790555
L2_B5_H5,2,23,0.16333283,2,8.413311197693996,2.7337631355302854,115,0.7505000000000001,0.02405202694161137
L2_B5_H6,2,23,0.14201966,2,10.210792303606489,2.2525186406814206,116,0.7535,0.02003746490951386
L2_B5_H7,2,23,0.15446885,2,7.801262848794664,2.948240617678152,117,0.8025,0.01781852968120546
L2_B5_H8,2,23,0.12822145,2,9.35943736862862,2.4574126728057846,118,0.6715,0.023162469643800965
L2_B5_H9,2,23,0.16196227,2,10.209316074128486,2.2528443465752317,119,0.5995,0.013729530217745997
L3_B0_H0,3,23,0.14615704,3,10.09304002557423,2.2787980570493622,120,0.774,0.01168332144554794
L3_B0_H1,3,24,0.108323835,3,8.345995154181951,2.8756307134894814,121,0.86,0.00758287544405158
L3_B0_H10,3,24,0.098879114,3,9.991062427937521,2.4021469361346366,122,0.6914999999999999,0.023906066175763862
L3_B0_H11,3,24,0.11201991,3,8.786420099974332,2.7314878786720103,123,0.861,0.006999999999999984
L3_B0_H12,3,23,0.18033627,3,9.531945117775155,2.4129387775334163,124,0.6900000000000001,0.026220221204253793
L3_B0_H13,3,23,0.12413331,3,9.709046382405408,2.3689247217605494,125,0.7150000000000001,0.018165902124584965
L3_B0_H14,3,23,0.1280623,3,8.372974927320081,2.746932864322043,126,0.876,0.028398943642325866
L3_B0_H15,3,24,0.13174908,3,8.625383388810977,2.7824850117541775,127,0.7995,0.012786711852544418
L3_B0_H16,3,24,0.11076016,3,9.657805999157771,2.4850364567369616,128,0.6849999999999999,0.025199206336708323
L3_B0_H17,3,23,0.19382238,3,11.477779750119874,2.0038718724986677,129,0.5205,0.02585536694769579
L3_B0_H18,3,23,0.113158636,3,7.792525865754443,2.951546186208678,130,0.8850000000000001,0.014053469322555185
L3_B0_H19,3,24,0.09814839,3,9.318892269819775,2.5754133973333455,131,0.668,0.016688319268278635
L3_B0_H2,3,24,0.16509522,3,8.827033516367194,2.7189202301655366,132,0.7705,0.020940391591371947
L3_B0_H20,3,22,0.29958695,3,8.508824094012645,2.585551159234871,133,0.65,0.020916500663351885
L3_B0_H21,3,24,0.20559832,3,11.046094765179062,2.1727135707413923,134,0.5319999999999999,0.020579115627256672
L3_B0_H22,3,23,0.33881485,3,9.157032846453143,2.5117306430661923,135,0.671,0.02482941803587027
L3_B0_H23,3,23,0.15002769,3,9.087928346993333,2.5308298131123976,136,0.7470000000000001,0.02541653005427766
L3_B0_H24,3,23,0.13284712,3,10.097448058033574,2.2778032496736738,137,0.5029999999999999,0.01977371993328518
L3_B0_H25,3,22,0.19919023,3,8.574912454034438,2.5656238612266122,138,0.8484999999999999,0.014370107863199926
L3_B0_H26,3,23,0.11738081,3,9.03828845335442,2.5447295822323426,139,0.8355,0.014525839046333934
L3_B0_H27,3,24,0.117082916,3,9.721573069727908,2.4687362660199317,140,0.6305,0.008276472678623402
L3_B0_H28,3,24,0.1280934,3,7.646372474998754,3.138743250930097,141,0.8210000000000001,0.021828879952943074
L3_B0_H29,3,24,0.12611079,3,9.090107376315942,2.6402328384515488,142,0.6745000000000001,0.03828837943815328
L3_B0_H3,3,24,0.12982574,3,8.706742161438962,2.7564845214198375,143,0.834,0.015779733838059504
L3_B0_H30,3,23,0.16222286,3,7.747034985025221,2.968877776395523,144,0.9359999999999999,0.011135528725660043
L3_B0_H31,3,23,0.13723248,3,8.502547988021611,2.705071471799089,145,0.849,0.01090871211463574
L3_B0_H4,3,23,0.14415255,3,8.357668815713701,2.751963556722476,146,0.8115,0.0265329983228432
L3_B0_H5,3,21,0.3033671,3,8.26188952342386,2.5417914316648065,147,0.739,0.021598611066455185
L3_B0_H6,3,24,0.12915236,3,8.205285844291316,2.924943805181093,148,0.835,0.029790938219532485
L3_B0_H7,3,24,0.13814603,3,9.38613319640983,2.556963501133772,149,0.6655,0.01017349497468791
L3_B0_H8,3,23,0.11052605,3,8.71956618380547,2.637745905606755,150,0.8760000000000001,0.00768114574786859
L3_B0_H9,3,23,0.13434649,3,8.65418726840117,2.657673018468107,151,0.8870000000000001,0.016077935190813526
L3_B1_H0,3,23,0.15823007,3,9.897273504851691,2.3238723259214056,152,0.643,0.02221485989152307
L3_B1_H1,3,23,0.1754549,3,8.332521444191164,2.7602689238842526,153,0.8560000000000001,0.023162469643800934
L3_B1_H10,3,23,0.1300991,3,9.63711402939052,2.3866066054481028,154,0.7395000000000002,0.011335784048754637
L3_B1_H11,3,22,0.14542012,3,8.445362250217961,2.6049800290605907,155,0.7790000000000001,0.02676751762864834
L3_B1_H12,3,23,0.20387658,3,9.005199865582703,2.554079903090716,156,0.7295,0.011335784048754629
L3_B1_H13,3,23,0.16337635,3,8.656893243385296,2.6568422820247,157,0.7699999999999999,0.013784048752090234
L3_B1_H14,3,23,0.16799751,3,8.916842640281162,2.5793883471823578,158,0.7995000000000001,0.012884098726725125
L3_B1_H15,3,22,0.17785272,3,8.579169220405976,2.5643508636794246,159,0.8545,0.008124038404635972
L3_B1_H16,3,23,0.16879906,3,8.793756414239882,2.6154920510142516,160,0.9075,0.014230249470757728
L3_B1_H17,3,22,0.2934314,3,9.346700472644077,2.35377180047543,161,0.7145,0.021644860821913345
L3_B1_H18,3,22,0.16872568,3,8.687854127015756,2.5322708782124677,162,0.8290000000000001,0.012708265027138827
L3_B1_H19,3,23,0.20451659,3,8.362266687576637,2.750450429208368,163,0.8554999999999999,0.016688319268278656
L3_B1_H2,3,23,0.15276432,3,10.081111829988046,2.2814943815604187,164,0.631,0.01662828914831589
L3_B1_H20,3,23,0.169179,3,8.504123632945737,2.704570275871336,165,0.8805000000000002,0.012980754985747144
L3_B1_H21,3,23,0.19265434,3,9.189221125817708,2.502932477637307,166,0.757,0.02531797780234432
L3_B1_H22,3,23,0.213201,3,10.51687736893689,2.1869609384182613,167,0.5790000000000001,0.01820714145603311
L3_B1_H23,3,23,0.21534786,3,9.769127851707793,2.354355511477849,168,0.6105,0.03222576608864403
L3_B1_H24,3,23,0.1894368,3,8.590328085466542,2.6774297525274164,169,0.8375,0.011510864433221349
L3_B1_H25,3,23,0.1488003,3,8.084967359717234,2.8447857581461413,170,0.9045,0.010653637876331268
L3_B1_H26,3,23,0.12863496,3,9.88959353046899,2.3256769784459768,171,0.619,0.014456832294800928
L3_B1_H27,3,23,0.14983435,3,8.598601458723238,2.6748535922276777,172,0.825,0.01508310312899835
L3_B1_H28,3,23,0.21522193,3,8.27037170674533,2.781011641984744,173,0.8775000000000001,0.014916433890176281
L3_B1_H29,3,19,0.622794,3,7.901428634881496,2.404628438472881,174,0.7529999999999999,0.015604486534327236
L3_B1_H3,3,23,0.11953795,3,8.901136929653878,2.583939577805636,175,0.8835000000000001,0.007176350047203673
L3_B1_H30,3,23,0.15091349,3,8.673518731614347,2.6517496199283763,176,0.8320000000000001,0.006964194138592076
L3_B1_H31,3,23,0.14156038,3,8.697996179516064,2.6442872042373864,177,0.8619999999999999,0.01144552314225958
L3_B1_H4,3,23,0.15050302,3,8.178330914283908,2.8123097782494013,178,0.851,0.009823441352194245
L3_B1_H5,3,23,0.13864636,3,9.602090157786176,2.39531181462087,179,0.705,0.029240383034426918
L3_B1_H6,3,22,0.18208326,3,9.011347500366664,2.441366288349754,180,0.8055,0.01919635382045247
L3_B1_H7,3,22,0.3155603,3,8.9382494465131,2.461332068616906,181,0.654,0.02477902338672772
L3_B1_H8,3,21,0.22631018,3,7.882414391799667,2.6641583347669444,182,0.8924999999999998,0.014142135623730963
L3_B1_H9,3,23,0.16059761,3,9.051563893383523,2.540997364755106,183,0.7985,0.013928388277184131
