head_id,layer,cluster,lr_mean,spec_index
L0_B0_H0,0,5,0.253,1.466002106666565
L0_B0_H1,0,5,0.27799999999999997,1.3647987842559814
L0_B0_H2,0,5,0.20700000000000002,1.4593098163604736
L0_B0_H3,0,3,0.33399999999999996,1.2274158000946045
L0_B1_H0,0,2,0.41050000000000003,0.8694047331809998
L0_B1_H1,0,6,0.40099999999999997,1.3392366170883179
L0_B1_H2,0,6,0.4365,1.1987574100494385
L0_B1_H3,0,5,0.4215,1.0530681610107422
L1_B0_H0,1,6,0.4425,0.574634313583374
L1_B0_H1,1,1,0.45499999999999996,0.8788467049598694
L1_B0_H2,1,1,0.4565,0.5833238959312439
L1_B0_H3,1,1,0.48650000000000004,0.7806973457336426
L1_B0_H4,1,6,0.48450000000000004,0.6526718139648438
L1_B0_H5,1,6,0.43999999999999995,0.630591630935669
L1_B0_H6,1,8,0.516,1.2698135375976562
L1_B0_H7,1,4,0.4145,0.9639618992805481
L1_B1_H0,1,5,0.6040000000000001,0.8673191666603088
L1_B1_H1,1,7,0.6239999999999999,0.6937177777290344
L1_B1_H2,1,1,0.609,0.7063725590705872
L1_B1_H3,1,6,0.618,0.7857511639595032
L1_B1_H4,1,8,0.621,0.6221762895584106
L1_B1_H5,1,4,0.594,0.6590561270713806
L1_B1_H6,1,8,0.637,0.9827683568000793
L1_B1_H7,1,6,0.6195,0.8603678345680237
L2_B0_H0,2,5,0.5900000000000001,0.5346382856369019
L2_B0_H1,2,6,0.6795,0.9673097729682922
L2_B0_H10,2,1,0.6475,0.7527459859848022
L2_B0_H11,2,3,0.7260000000000001,0.9360601902008057
L2_B0_H12,2,1,0.633,0.6400755047798157
L2_B0_H13,2,5,0.6725000000000001,0.8060336709022522
L2_B0_H14,2,3,0.6905,0.9053235650062561
L2_B0_H15,2,6,0.6699999999999999,0.977973222732544
L2_B0_H2,2,1,0.643,0.7236493825912476
L2_B0_H3,2,1,0.6165,0.5476475954055786
L2_B0_H4,2,1,0.6914999999999999,0.7144905924797058
L2_B0_H5,2,4,0.6130000000000001,1.0616165399551392
L2_B0_H6,2,8,0.689,1.0666289329528809
L2_B0_H7,2,6,0.597,0.6264691352844238
L2_B0_H8,2,3,0.5694999999999999,0.5579311847686768
L2_B0_H9,2,3,0.6409999999999999,0.8206769824028015
L2_B1_H0,2,1,0.6555,0.8143234848976135
L2_B1_H1,2,1,0.6295,0.5794758796691895
L2_B1_H10,2,6,0.58,0.5497433543205261
L2_B1_H11,2,3,0.7415,0.9956448674201965
L2_B1_H12,2,4,0.645,0.5501380562782288
L2_B1_H13,2,8,0.6285,0.7606902718544006
L2_B1_H14,2,6,0.7150000000000001,1.1179410219192505
L2_B1_H15,2,3,0.6785,0.9474257826805115
L2_B1_H2,2,2,0.5645,0.44093331694602966
L2_B1_H3,2,7,0.588,0.5138838887214661
L2_B1_H4,2,8,0.605,0.46318042278289795
L2_B1_H5,2,8,0.53,0.5137750506401062
L2_B1_H6,2,2,0.623,0.6169963479042053
L2_B1_H7,2,7,0.6859999999999999,0.6907727122306824
L2_B1_H8,2,1,0.5734999999999999,0.3940475285053253
L2_B1_H9,2,4,0.6415,0.6001351475715637
L2_B2_H0,2,6,0.647,0.5075171589851379
L2_B2_H1,2,8,0.6980000000000001,0.6798309087753296
L2_B2_H10,2,6,0.6345,0.6111913919448853
L2_B2_H11,2,3,0.5984999999999999,0.5058689117431641
L2_B2_H12,2,1,0.6615,0.6045853495597839
L2_B2_H13,2,4,0.592,0.5298592448234558
L2_B2_H14,2,5,0.767,0.7941063642501831
L2_B2_H15,2,3,0.6535,0.5900942087173462
L2_B2_H2,2,1,0.708,0.7166903018951416
L2_B2_H3,2,6,0.5985,0.46728751063346863
L2_B2_H4,2,3,0.692,0.6528902649879456
L2_B2_H5,2,7,0.6795,0.6946116089820862
L2_B2_H6,2,4,0.5875000000000001,0.5973066091537476
L2_B2_H7,2,4,0.6395,0.6760086417198181
L2_B2_H8,2,6,0.677,0.6532402634620667
L2_B2_H9,2,1,0.6144999999999999,0.50518399477005
L2_B3_H0,2,3,0.6695,0.5239312648773193
L2_B3_H1,2,3,0.6005,0.4505441188812256
L2_B3_H10,2,7,0.65,0.5693052411079407
L2_B3_H11,2,6,0.577,0.41820070147514343
L2_B3_H12,2,5,0.647,0.534946858882904
L2_B3_H13,2,8,0.575,0.45000553131103516
L2_B3_H14,2,6,0.658,0.5422425866127014
L2_B3_H15,2,1,0.623,0.5077067613601685
L2_B3_H2,2,1,0.6214999999999999,0.45836004614830017
L2_B3_H3,2,1,0.6975,0.6898699998855591
L2_B3_H4,2,7,0.533,0.3785877227783203
L2_B3_H5,2,1,0.6214999999999999,0.5368067026138306
L2_B3_H6,2,2,0.7314999999999999,0.8891987204551697
L2_B3_H7,2,1,0.663,0.5376549363136292
L2_B3_H8,2,1,0.519,0.40718698501586914
L2_B3_H9,2,6,0.6365000000000001,0.5324929356575012
L2_B4_H0,2,3,0.7335,0.7787618637084961
L2_B4_H1,2,7,0.6920000000000001,0.6368243098258972
L2_B4_H10,2,2,0.7115,0.7032560110092163
L2_B4_H11,2,3,0.7505,0.8255975246429443
L2_B4_H12,2,1,0.569,0.46035757660865784
L2_B4_H13,2,7,0.7464999999999999,0.784619152545929
L2_B4_H14,2,5,0.7950000000000002,1.0355926752090454
L2_B4_H15,2,8,0.6815,0.617271363735199
L2_B4_H2,2,6,0.7055,0.5981932878494263
L2_B4_H3,2,1,0.7615000000000001,1.0336530208587646
L2_B4_H4,2,5,0.6184999999999999,0.5633915662765503
L2_B4_H5,2,3,0.5925,0.6120443940162659
L2_B4_H6,2,6,0.587,0.4457891881465912
L2_B4_H7,2,3,0.471,0.3016560971736908
L2_B4_H8,2,1,0.7245,0.6770318746566772
L2_B4_H9,2,3,0.7494999999999999,0.6984854340553284
L2_B5_H0,2,4,0.5595,0.3974961042404175
L2_B5_H1,2,1,0.6455,0.5310065746307373
L2_B5_H10,2,6,0.7144999999999999,0.609626829624176
L2_B5_H11,2,3,0.7585,0.9801064729690552
L2_B5_H12,2,6,0.583,0.5106213092803955
L2_B5_H13,2,4,0.648,0.568574070930481
L2_B5_H14,2,7,0.518,0.39531418681144714
L2_B5_H15,2,7,0.6365000000000001,0.6397282481193542
L2_B5_H2,2,3,0.657,0.6119252443313599
L2_B5_H3,2,3,0.7344999999999999,0.8413345217704773
L2_B5_H4,2,4,0.79,0.9442864060401917
L2_B5_H5,2,5,0.8029999999999999,1.0042959451675415
L2_B5_H6,2,1,0.7845,0.8757641911506653
L2_B5_H7,2,4,0.8324999999999999,1.3492670059204102
L2_B5_H8,2,2,0.733,0.7477938532829285
L2_B5_H9,2,1,0.6765000000000001,0.7155821919441223
L3_B0_H0,3,3,0.8039999999999999,1.1133525371551514
L3_B0_H1,3,2,0.8655000000000002,1.3739064931869507
L3_B0_H10,3,2,0.7404999999999999,0.7292428612709045
L3_B0_H11,3,8,0.867,1.1503537893295288
L3_B0_H12,3,4,0.7495,0.5395183563232422
L3_B0_H13,3,8,0.7455,1.2582409381866455
L3_B0_H14,3,6,0.8985,1.4861620664596558
L3_B0_H15,3,4,0.8309999999999998,1.1023966073989868
L3_B0_H16,3,7,0.7375,0.7745589017868042
L3_B0_H17,3,6,0.5589999999999999,0.39347559213638306
L3_B0_H18,3,2,0.9019999999999999,1.8191330432891846
L3_B0_H19,3,5,0.7040000000000001,0.6047654747962952
L3_B0_H2,3,6,0.8025,1.0450098514556885
L3_B0_H20,3,6,0.776,0.7002537250518799
L3_B0_H21,3,2,0.6025,0.39246106147766113
L3_B0_H22,3,3,0.751,0.6489874124526978
L3_B0_H23,3,6,0.7875,0.8967748284339905
L3_B0_H24,3,2,0.568,0.48697131872177124
L3_B0_H25,3,6,0.8865000000000001,1.9442452192306519
L3_B0_H26,3,2,0.8550000000000001,1.333754301071167
L3_B0_H27,3,1,0.6645,0.7625553011894226
L3_B0_H28,3,5,0.859,1.0748910903930664
L3_B0_H29,3,1,0.7245,0.6938396096229553
L3_B0_H3,3,4,0.8290000000000001,1.1543217897415161
L3_B0_H30,3,4,0.9324999999999999,2.5113351345062256
L3_B0_H31,3,1,0.8594999999999999,1.4182074069976807
L3_B0_H4,3,5,0.8460000000000001,1.0551130771636963
L3_B0_H5,3,1,0.8535,1.1693036556243896
L3_B0_H6,3,6,0.8620000000000001,1.1884371042251587
L3_B0_H7,3,4,0.7125,0.647128701210022
L3_B0_H8,3,3,0.8789999999999999,1.5237842798233032
L3_B0_H9,3,3,0.9185000000000001,1.5894520282745361
L3_B1_H0,3,1,0.6944999999999999,0.7010787129402161
L3_B1_H1,3,8,0.8854999999999998,1.703920602798462
L3_B1_H10,3,8,0.8009999999999999,0.8035205006599426
L3_B1_H11,3,4,0.8245000000000001,1.3061087131500244
L3_B1_H12,3,2,0.7785,0.9075184464454651
L3_B1_H13,3,6,0.7955,1.5591926574707031
L3_B1_H14,3,6,0.825,1.17625093460083
L3_B1_H15,3,3,0.8799999999999999,1.695972204208374
L3_B1_H16,3,3,0.9145,2.2357332706451416
L3_B1_H17,3,5,0.7775000000000001,1.3910701274871826
L3_B1_H18,3,2,0.8644999999999999,1.236063838005066
L3_B1_H19,3,5,0.865,2.1082186698913574
L3_B1_H2,3,4,0.7025,0.6303572058677673
L3_B1_H20,3,4,0.9,2.7691650390625
L3_B1_H21,3,4,0.7899999999999999,1.3825159072875977
L3_B1_H22,3,6,0.6529999999999999,0.47127047181129456
L3_B1_H23,3,8,0.6990000000000001,0.509414792060852
L3_B1_H24,3,6,0.8805,1.111530065536499
L3_B1_H25,3,2,0.9175000000000001,2.392796277999878
L3_B1_H26,3,4,0.6845000000000001,0.526613712310791
L3_B1_H27,3,1,0.8344999999999999,1.2636451721191406
L3_B1_H28,3,8,0.889,2.0466573238372803
L3_B1_H29,3,6,0.8779999999999999,1.5027508735656738
L3_B1_H3,3,4,0.9040000000000001,1.623932123184204
L3_B1_H30,3,3,0.8755000000000001,1.1765670776367188
L3_B1_H31,3,2,0.8815000000000002,1.348166584968567
L3_B1_H4,3,1,0.8744999999999999,1.180008053779602
L3_B1_H5,3,1,0.743,0.8539597392082214
L3_B1_H6,3,4,0.8345,1.9674643278121948
L3_B1_H7,3,5,0.7485,0.5654821395874023
L3_B1_H8,3,6,0.9199999999999999,2.5572874546051025
L3_B1_H9,3,1,0.8305,1.5268850326538086
